mk,sq,es,en
Ајан Сељими,Ajan Selimi,Ajan Selimi,Ajan Selimi
Ајан Суљејмани,Ajan Sulejmani,Ajan Sulejmani,Ajan Sulejmani
Ајдин Џини,Ajdin Xhini,Ajdin Xhini,Ajdin Xhini
Ајдин Шабан,Ajdin Shaban,Ajdin Shaban,Ajdin Shaban
Ајдин Шабани,Ajdin Shabani,Ajdin Shabani,Ajdin Shabani
Ајдоган Огужан,Aydogan Oguzhan,Aydogan Oguzhan,Aydogan Oguzhan
Ајет Реџепи,Ajet Rexhepi,Ajet Rexhepi,Ajet Rexhepi
Ајхан Шаќири,Ajhan Shaqiri,Ajhan Shaqiri,Ajhan Shaqiri
Аљага Рамадани,Alaga Ramadani,Alaga Ramadani,Alaga Ramadani
Аљајдин Османи,Alajdin Osmani,Alajdin Osmani,Alajdin Osmani
Аљбан Јашари,Alban Jashari,Alban Jashari,Alban Jashari
Аљбан Ќаиљи,Alban Qaili,Alban Qaili,Alban Qaili
Аљбан Бајрами,Alban Bajrami,Alban Bajrami,Alban Bajrami
Аљбан Биба,Alban Biba,Alban Biba,Alban Biba
Аљбан Зумбери,Alban Zumberi,Alban Zumberi,Alban Zumberi
Аљбан Иљази,Alban Iljazi,Alban Iljazi,Alban Iljazi
Аљбан Мемеди,Alban Memedi,Alban Memedi,Alban Memedi
Аљбан Ферати,Alban Ferati,Alban Ferati,Alban Ferati
Аљбан Шабани,Alban Shabani,Alban Shabani,Alban Shabani
Аљбим Јашари,Albim Jashari,Albim Jashari,Albim Jashari
Аљбин Љамалари,Albin Llamalari,Albin Llamalari,Albin Llamalari
Аљбин Амети,Albin Ameti,Albin Ameti,Albin Ameti
Аљбин Арифи,Albin Arifi,Albin Arifi,Albin Arifi
Аљбин Бајрами,Albin Bajrami,Albin Bajrami,Albin Bajrami
Аљбин Ибраими,Albin Ibraimi,Albin Ibraimi,Albin Ibraimi
Аљбин Рамадани,Albin Ramadani,Albin Ramadani,Albin Ramadani
Аљбин Салихи,Albin Salihi,Albin Salihi,Albin Salihi
Аљбин Шабани,Albin Shabani,Albin Shabani,Albin Shabani
Аљбрим Положани,Albrim Polozhani,Albrim Polozhani,Albrim Polozhani
Аљинд Јакупи,Alind Jakupi,Alind Jakupi,Alind Jakupi
Аљиљ Шаќири,Alil Shaqiri,Alil Shaqiri,Alil Shaqiri
Аљман Етеми,Alman Etemi,Alman Etemi,Alman Etemi
Аљман Хунељи,Alman Huneli,Alman Huneli,Alman Huneli
Аљмендин Шабани,Almendin Shabani,Almendin Shabani,Almendin Shabani
Аљмир Велиу,Almir Veliu,Almir Veliu,Almir Veliu
Аљмир Емини,Almir Emini,Almir Emini,Almir Emini
Аљмир Исмаиљи,Almir Ismaili,Almir Ismaili,Almir Ismaili
Аљмир Османи,Almir Osmani,Almir Osmani,Almir Osmani
Аљмир Подграѓа,Almir Podgragja,Almir Podgragja,Almir Podgragja
Аљмир Фаризи,Almir Farizi,Almir Farizi,Almir Farizi
Аљмир Цаколи,Almir Cakoli,Almir Cakoli,Almir Cakoli
Аљмир Челеби,Almir Çelebi,Almir Çelebi,Almir Çelebi
Аљтин Аљиљи,Altin Alili,Altin Alili,Altin Alili
Аљтин Имери,Altin Imeri,Altin Imeri,Altin Imeri
Аљтин Лога,Altin Loga,Altin Loga,Altin Loga
Аљтрим Јакупи,Altrim Jakupi,Altrim Jakupi,Altrim Jakupi
Аќиф Идризи,Aqif Idrizi,Aqif Idrizi,Aqif Idrizi
Аќиф Хунели,Aqif Huneli,Aqif Huneli,Aqif Huneli
Аџи Фејзулаи,Axhi Fejzulai,Axhi Fejzulai,Axhi Fejzulai
Бардиљ Шаќири,Bardil Shaqiri,Bardil Shaqiri,Bardil Shaqiri
Бардхиљ Ибраими,Bardhil Ibraimi,Bardhil Ibraimi,Bardhil Ibraimi
Башким Алими,Bashkim Alimi,Bashkim Alimi,Bashkim Alimi
Башким Баки,Bashkim Baki,Bashkim Baki,Bashkim Baki
Башким Велии,Bashkim Velii,Bashkim Velii,Bashkim Velii
Башким Велија,Bashkim Velija,Bashkim Velija,Bashkim Velija
Башким Рамадани,Bashkim Ramadani,Bashkim Ramadani,Bashkim Ramadani
Башким Сулејмани,Bashkim Sulejmani,Bashkim Sulejmani,Bashkim Sulejmani
Башким Фаризи,Bashkim Farizi,Bashkim Farizi,Bashkim Farizi
Бајрам Зеќири,Bajram Zeqiri,Bajram Zeqiri,Bajram Zeqiri
Беким Аџами,Bekim Axhami,Bekim Axhami,Bekim Axhami
Беким Дарлишта,Bekim Darlishta,Bekim Darlishta,Bekim Darlishta
Беким Шеји,Bekim Sheji,Bekim Sheji,Bekim Sheji
Бектеш Исмаил,Bektesh Ismail,Bektesh Ismail,Bektesh Ismail
Белмин Цамиќ,Belmin Camić,Belmin Camić,Belmin Camić
Белмин Шаботиќ,Belmin Šabotić,Belmin Šabotić,Belmin Šabotić
Белмин Шаќировиќ,Belmin Šaćirović,Belmin Šaćirović,Belmin Šaćirović
Бенарт Зеќири,Benart Zeqiri,Benart Zeqiri,Benart Zeqiri
Берат Шакири,Berat Shakiri,Berat Shakiri,Berat Shakiri
Берен Беќири,Beren Beqiri,Beren Beqiri,Beren Beqiri
Бериз Лекиќ,Beriz Lekić,Beriz Lekić,Beriz Lekić
Бериз Сејфовиќ,Beriz Sejfović,Beriz Sejfović,Beriz Sejfović
Берин Џелили,Berin Xhelili,Berin Xhelili,Berin Xhelili
Берин Личина,Berin Ličina,Berin Ličina,Berin Ličina
Берин Шабани,Berin Shabani,Berin Shabani,Berin Shabani
Берис Дрпљанин,Beris Drpljanin,Beris Drpljanin,Beris Drpljanin
Берк Ќеховиќ,Berk Ćehović,Berk Ćehović,Berk Ćehović
Беркај Шаини,Berkaj Shaini,Berkaj Shaini,Berkaj Shaini
Бертан Ќерими,Bertan Qerimi,Bertan Qerimi,Bertan Qerimi
Бесам Јашари,Besam Jashari,Besam Jashari,Besam Jashari
Бесан Шахсивари,Besan Shahsivari,Besan Shahsivari,Besan Shahsivari
Бесар Реџепи,Besar Rexhepi,Besar Rexhepi,Besar Rexhepi
Бесар Суља,Besar Sula,Besar Sula,Besar Sula
Бесарт Реџепи,Besart Rexhepi,Besart Rexhepi,Besart Rexhepi
Бесиан Шабани,Besian Shabani,Besian Shabani,Besian Shabani
Бесим Џелили,Besim Xhelili,Besim Xhelili,Besim Xhelili
Бесим Иша,Besim Isha,Besim Isha,Besim Isha
Бесир Балиќ,Besir Balić,Besir Balić,Besir Balić
Бесир Куртиши,Besir Kurtishi,Besir Kurtishi,Besir Kurtishi
Бесир Шабани,Besir Shabani,Besir Shabani,Besir Shabani
Бесмир Рушити,Besmir Rushiti,Besmir Rushiti,Besmir Rushiti
Бесник Алиљи,Besnik Alili,Besnik Alili,Besnik Alili
Бесник Шабани,Besnik Shabani,Besnik Shabani,Besnik Shabani
Бесјан Биљали,Besjan Bilali,Besjan Bilali,Besjan Bilali
Бехар Реџепи,Behar Rexhepi,Behar Rexhepi,Behar Rexhepi
Бехар Шаќири,Behar Shaqiri,Behar Shaqiri,Behar Shaqiri
Бехар Шукрији,Behar Shukriji,Behar Shukriji,Behar Shukriji
Бејадин Јашари,Bejadin Jashari,Bejadin Jashari,Bejadin Jashari
Бејтула Јашари,Bejtula Jashari,Bejtula Jashari,Bejtula Jashari
Бејтула Неџбии,Bejtula Nexhbii,Bejtula Nexhbii,Bejtula Nexhbii
Бељуљ Узеири,Belul Uzeiri,Belul Uzeiri,Belul Uzeiri
Бењамин Ќерими,Benjamin Qerimi,Benjamin Qerimi,Benjamin Qerimi
Беќир Бехџети,Beqir Behxheti,Beqir Behxheti,Beqir Behxheti
Беќир Синани,Beqir Sinani,Beqir Sinani,Beqir Sinani
Беќирага Беќири,Beqiraga Beqiri,Beqiraga Beqiri,Beqiraga Beqiri
Биба Башким,Biba Bashkim,Biba Bashkim,Biba Bashkim
Бирол Топчиу,Birol Topçiu,Birol Topçiu,Birol Topçiu
Биљали Хасан,Bilali Hasan,Bilali Hasan,Bilali Hasan
Бледи Шкемби,Bledi Shkembi,Bledi Shkembi,Bledi Shkembi
Бленд Џемаили,Blend Xhemaili,Blend Xhemaili,Blend Xhemaili
Бленди Ибиши,Blendi Ibishi,Blendi Ibishi,Blendi Ibishi
Бленди Шабани,Blendi Shabani,Blendi Shabani,Blendi Shabani
Блеранд Ќамили,Blerand Qamili,Blerand Qamili,Blerand Qamili
Блерим Шабани,Blerim Shabani,Blerim Shabani,Blerim Shabani
Блерон Дервиши,Bleron Dervishi,Bleron Dervishi,Bleron Dervishi
Блерон Реџепи,Bleron Rexhepi,Bleron Rexhepi,Bleron Rexhepi
Блертон Положани,Blerton Polozhani,Blerton Polozhani,Blerton Polozhani
Блертон Шабани,Blerton Shabani,Blerton Shabani,Blerton Shabani
Блин Џеладини,Blin Xheladini,Blin Xheladini,Blin Xheladini
Блонди Ибиши,Blondi Ibishi,Blondi Ibishi,Blondi Ibishi
Бобан Дујковиќ,Boban Dujković,Boban Dujković,Boban Dujković
Бобан Тиквешанац,Boban Tikvešanac,Boban Tikvešanac,Boban Tikvešanac
Богдан Трајковиќ,Bogdan Trajković,Bogdan Trajković,Bogdan Trajković
Борче Павловиќ,Borče Pavlović,Borče Pavlović,Borče Pavlović
Борјан Ѓорѓевиќ,Borjan Gjorgjević,Borjan Gjorgjević,Borjan Gjorgjević
Бошко Ступиќ,Boško Stupić,Boško Stupić,Boško Stupić
Бојан Анишиќ,Bojan Anišić,Bojan Anišić,Bojan Anišić
Бојан Нојиќ,Bojan Nojić,Bojan Nojić,Bojan Nojić
Бојан Станковиќ,Bojan Stanković,Bojan Stanković,Bojan Stanković
Бранислав Пешиќ,Branislav Pešić,Branislav Pešić,Branislav Pešić
Бранко Брчина,Branko Brčina,Branko Brčina,Branko Brčina
Бранко Стошиќ,Branko Stošić,Branko Stošić,Branko Stošić
Брендим Рушити,Brendim Rushiti,Brendim Rushiti,Brendim Rushiti
Бурак Јашари,Burak Jashari,Burak Jashari,Burak Jashari
Бурим Шаќири,Burim Shaqiri,Burim Shaqiri,Burim Shaqiri
Бурхан Неџипи,Burhan Nexhipi,Burhan Nexhipi,Burhan Nexhipi
Бујар Иљази,Bujar Iljazi,Bujar Iljazi,Bujar Iljazi
Буњамин Бешири,Bunjamin Beshiri,Bunjamin Beshiri,Bunjamin Beshiri
Буњамин Реџепи,Bunjamin Rexhepi,Bunjamin Rexhepi,Bunjamin Rexhepi
Буњамин Шабани,Bunjamin Shabani,Bunjamin Shabani,Bunjamin Shabani
Буњан Агуши,Bunjan Agushi,Bunjan Agushi,Bunjan Agushi
Бљеарт Гаши,Bleart Gashi,Bleart Gashi,Bleart Gashi
Бљенди Алији,Blendi Aliji,Blendi Aliji,Blendi Aliji
Бљенди Исени,Blendi Iseni,Blendi Iseni,Blendi Iseni
Бљеон Исени,Bleon Iseni,Bleon Iseni,Bleon Iseni
Бљерим Љамалари,Blerim Llamalari,Blerim Llamalari,Blerim Llamalari
Бљерим Арифи,Blerim Arifi,Blerim Arifi,Blerim Arifi
Бљерим Рамадани,Blerim Ramadani,Blerim Ramadani,Blerim Ramadani
Бљерон Ќамили,Bleron Qamili,Bleron Qamili,Bleron Qamili
Бљерон Аслани,Bleron Aslani,Bleron Aslani,Bleron Aslani
Бљерон Бајрами,Bleron Bajrami,Bleron Bajrami,Bleron Bajrami
Бљерон Буши,Bleron Bushi,Bleron Bushi,Bleron Bushi
Бљерон Исени,Bleron Iseni,Bleron Iseni,Bleron Iseni
Бљерон Муча,Bleron Muça,Bleron Muça,Bleron Muça
Бљертон Зимбери,Blerton Zimberi,Blerton Zimberi,Blerton Zimberi
Валдрин Рочи,Valdrin Roçi,Valdrin Roçi,Valdrin Roçi
Валентин Трајковиќ,Valentin Trajković,Valentin Trajković,Valentin Trajković
Валмир Красничи,Valmir Krasniqi,Valmir Krasniqi,Valmir Krasniqi
Валон Љесковица,Valon Lleskovica,Valon Lleskovica,Valon Lleskovica
Валтон Маличи,Valton Maliçi,Valton Maliçi,Valton Maliçi
Валтрин Ќаили,Valtrin Qaili,Valtrin Qaili,Valtrin Qaili
Ванчо Смиљковиќ,Vančo Smiljković,Vančo Smiljković,Vančo Smiljković
Варрен Тчимбембе,Varren Tčimbembe,Varren Tčimbembe,Varren Tčimbembe
Васиљко Антиќ,Vasiljko Antić,Vasiljko Antić,Vasiljko Antić
Басироу Компаоре,Bassirou Compaoré,Bassirou Compaoré,Bassirou Compaoré
Васко Николиќ,Vasko Nikolić,Vasko Nikolić,Vasko Nikolić
Васко Рајковиќ,Vasko Rajković,Vasko Rajković,Vasko Rajković
Васко Цветановиќ,Vasko Cvetanović,Vasko Cvetanović,Vasko Cvetanović
Ватан Шерифи,Vatan Sherifi,Vatan Sherifi,Vatan Sherifi
Ваљедин Мусли,Valedin Musli,Valedin Musli,Valedin Musli
Ваљер Исуфи,Valer Isufi,Valer Isufi,Valer Isufi
Ваљмир Алити,Valmir Aliti,Valmir Aliti,Valmir Aliti
Ваљмир Ислами,Valmir Islami,Valmir Islami,Valmir Islami
Ваљмир Рамадани,Valmir Ramadani,Valmir Ramadani,Valmir Ramadani
Ваљмир Селмани,Valmir Selmani,Valmir Selmani,Valmir Selmani
Ваљмир Хамити,Valmir Hamiti,Valmir Hamiti,Valmir Hamiti
Ваљон Џељили,Valon Xhelili,Valon Xhelili,Valon Xhelili
Ваљон Тефику,Valon Tefiku,Valon Tefiku,Valon Tefiku
Ваљтон Камбери,Valton Kamberi,Valton Kamberi,Valton Kamberi
Вања Терзиќ,Vanja Terzić,Vanja Terzić,Vanja Terzić
Ваџит Бајрами,Vaxhit Bajrami,Vaxhit Bajrami,Vaxhit Bajrami
Ведран Ивановиќ,Vedran Ivanović,Vedran Ivanović,Vedran Ivanović
Венис Реџепи,Venis Rexhepi,Venis Rexhepi,Venis Rexhepi
Венис Шабани,Venis Shabani,Venis Shabani,Venis Shabani
Венхар Реџепи,Venhar Rexhepi,Venhar Rexhepi,Venhar Rexhepi
Венхар Шахини,Venhar Shahini,Venhar Shahini,Venhar Shahini
Ветон Клобучишта,Veton Klobuçishta,Veton Klobuçishta,Veton Klobuçishta
Вељдан Салиу,Veldan Saliu,Veldan Saliu,Veldan Saliu
Виган Шабан,Vigan Shaban,Vigan Shaban,Vigan Shaban
Виктор Анишиќ,Viktor Anišić,Viktor Anišić,Viktor Anišić
Виктор Кравченко,Viktor Kravchenko,Viktor Kravchenko,Viktor Kravchenko
Виктор Пауновиќ,Viktor Paunović,Viktor Paunović,Viktor Paunović
Виктор Станковиќ,Viktor Stanković,Viktor Stanković,Viktor Stanković
Виктор Стефановиќ,Viktor Stefanović,Viktor Stefanović,Viktor Stefanović
Владимир Митрички,Vladimir Mitrički,Vladimir Mitrički,Vladimir Mitrički
Владко Петровиќ,Vladko Petrović,Vladko Petrović,Vladko Petrović
Властимир Ѓорѓевиќ,Vlastimir Gjorgjević,Vlastimir Gjorgjević,Vlastimir Gjorgjević
Влатко Јовановиќ,Vlatko Jovanović,Vlatko Jovanović,Vlatko Jovanović
Влерон Реџепи,Vleron Rexhepi,Vleron Rexhepi,Vleron Rexhepi
Влоран Беџети,Vloran Bexheti,Vloran Bexheti,Vloran Bexheti
Војдан Јовановиќ,Vojdan Jovanović,Vojdan Jovanović,Vojdan Jovanović
Вукашин Станојковиќ,Vukašin Stanojković,Vukašin Stanojković,Vukašin Stanojković
Вуллнет Каљиси,Vullnet Kalisi,Vullnet Kalisi,Vullnet Kalisi
Вулнет Ештрефи,Vullnet Eshtrefi,Vullnet Eshtrefi,Vullnet Eshtrefi
Вљорент Адеми,Vlorent Ademi,Vlorent Ademi,Vlorent Ademi
Габриел Стојановиќ,Gabriel Stojanović,Gabriel Stojanović,Gabriel Stojanović
Гадаф Бериша,Gadaf Berisha,Gadaf Berisha,Gadaf Berisha
Гадаф Шабани,Gadaf Shabani,Gadaf Shabani,Gadaf Shabani
Гани Беќири,Gani Beqiri,Gani Beqiri,Gani Beqiri
Гајур Реџеп,Gajur Rexhep,Gajur Rexhep,Gajur Rexhep
Гентрит Аљиљи,Gentrit Alili,Gentrit Alili,Gentrit Alili
Генц Гаши,Genc Gashi,Genc Gashi,Genc Gashi
Генц Мурсељи,Genc Murseli,Genc Murseli,Genc Murseli
Гетоар Саќипи,Getoar Saqipi,Getoar Saqipi,Getoar Saqipi
Гзим Ќамили,Gzim Qamili,Gzim Qamili,Gzim Qamili
Гзим Беќири,Gzim Beqiri,Gzim Beqiri,Gzim Beqiri
Горан Готиќ,Goran Gotić,Goran Gotić,Goran Gotić
Горан Илиќ,Goran Ilić,Goran Ilić,Goran Ilić
Горан Малишиќ,Goran Mališić,Goran Mališić,Goran Mališić
Горан Манојловиќ,Goran Manojlović,Goran Manojlović,Goran Manojlović
Горан Маринковиќ,Goran Marinković,Goran Marinković,Goran Marinković
Горјан Гапиќ,Gorjan Gapić,Gorjan Gapić,Gorjan Gapić
Горјан Кочишки,Gorjan Kočiški,Gorjan Kočiški,Gorjan Kočiški
Горјан Тадиќ,Gorjan Tadić,Gorjan Tadić,Gorjan Tadić
Гранит Клобучишта,Granit Klobuçishta,Granit Klobuçishta,Granit Klobuçishta
Гљаук Речица,Glauk Reçica,Glauk Reçica,Glauk Reçica
Давид Гонзалез Димова,David González Dimova,David González Dimova,David González Dimova
Давид Калпачки,David Kalpački,David Kalpački,David Kalpački
Давид Миомировиќ,David Miomirović,David Miomirović,David Miomirović
Давид Накиќ,David Nakić,David Nakić,David Nakić
Давид Николиќ,David Nikolić,David Nikolić,David Nikolić
Давид Пешиќ,David Pešić,David Pešić,David Pešić
Давид Стојановиќ,David Stojanović,David Stojanović,David Stojanović
Давид Трајковиќ,David Trajković,David Trajković,David Trajković
Давор Алексиќ,Davor Aleksić,Davor Aleksić,Davor Aleksić
Давор Росиќ,Davor Rosić,Davor Rosić,Davor Rosić
Давуд Ганевиќ,Davud Ganević,Davud Ganević,Davud Ganević
Далибор Марковиќ,Dalibor Marković,Dalibor Marković,Dalibor Marković
Далибор Рајевиќ,Dalibor Rajević,Dalibor Rajević,Dalibor Rajević
Дамир Ризвановиќ,Damir Rizvanović,Damir Rizvanović,Damir Rizvanović
Дамир Шкријељ,Damir Škrijelj,Damir Škrijelj,Damir Škrijelj
Дамјан Барбашки,Damjan Barbaški,Damjan Barbaški,Damjan Barbaški
Дамјан Драгомировиќ,Damjan Dragomirović,Damjan Dragomirović,Damjan Dragomirović
Дамјан Павловиќ,Damjan Pavlović,Damjan Pavlović,Damjan Pavlović
Дамјан Хрличка,Damjan Hrlička,Damjan Hrlička,Damjan Hrlička
Даниел Бошначки,Daniel Bošnački,Daniel Bošnački,Daniel Bošnački
Даниел Васиќ,Daniel Vasić,Daniel Vasić,Daniel Vasić
Даниел Маџевиќ,Daniel Madžević,Daniel Madžević,Daniel Madžević
Даниел Миловановиќ,Daniel Milovanović,Daniel Milovanović,Daniel Milovanović
Даниел Раденковиќ,Daniel Radenković,Daniel Radenković,Daniel Radenković
Даниел Симиќ,Daniel Simić,Daniel Simić,Daniel Simić
Даниел Стоилковиќ,Daniel Stoilković,Daniel Stoilković,Daniel Stoilković
Даниел Шарац,Daniel Šarac,Daniel Šarac,Daniel Šarac
Данило Величковиќ,Danilo Veličković,Danilo Veličković,Danilo Veličković
Данило Жарковиќ,Danilo Žarković,Danilo Žarković,Danilo Žarković
Данило Максимовиќ,Danilo Maksimović,Danilo Maksimović,Danilo Maksimović
Дардан Чахиљи,Dardan Çahili,Dardan Çahili,Dardan Çahili
Дарио Десниќ,Dario Desnić,Dario Desnić,Dario Desnić
Дарио Илиќ,Dario Ilić,Dario Ilić,Dario Ilić
Дарио Марјановиќ,Dario Marjanović,Dario Marjanović,Dario Marjanović
